idx,params_1,params_2,params_3,params_4,fitness,penalty,val_rmse,gen
17,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,6.0
18,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,6.0
19,2.0,149.0,12.0,2.0,7.75817265,0.161,7.59717265,6.0
20,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,6.0
21,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,6.0
22,4.0,158.0,97.0,1.0,7.76728471,0.257,7.5102847100000005,6.0
23,5.0,156.0,169.0,1.0,7.77574006,0.327,7.44874006,6.0
24,2.0,170.0,58.0,2.0,7.65596437,0.228,7.427964370000001,6.0
25,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,6.0
26,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,6.0
27,5.0,183.0,12.0,2.0,7.67656072,0.195,7.48156072,6.0
28,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,6.0
29,4.0,168.0,49.0,2.0,8.11643017,0.217,7.89943017,6.0
0,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,7.0
1,3.0,112.0,58.0,1.0,7.36268778,0.17200000000000001,7.19068778,7.0
2,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,7.0
3,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
4,4.0,121.0,150.0,2.0,7.41382131,0.271,7.14282131,7.0
5,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
6,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
7,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
8,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
9,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
10,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
11,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
12,5.0,4.0,53.0,1.0,7.56123806,0.059000000000000004,7.50223806,7.0
13,5.0,69.0,131.0,2.0,7.44255927,0.2,7.24255927,7.0
14,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
15,3.0,35.0,117.0,1.0,7.74245876,0.154,7.58845876,7.0
16,5.0,170.0,167.0,1.0,7.62923417,0.339,7.29023417,7.0
